080,01,080,02,0.8567381
080,01,020,10,0.28402448
080,02,080,03,0.9645644
080,02,064,05,-0.2562648
080,03,080,04,0.8764738
080,03,027,10,-0.43576264
080,04,080,05,0.7497641
080,04,012,12,0.44518316
080,05,080,06,0.8160845
080,05,004,08,-0.7322221
080,06,080,07,0.976609
080,06,088,07,-0.38943565
080,07,080,08,0.89650655
080,07,056,12,0.92875284
080,08,080,09,0.7981278
080,08,089,10,0.62398
080,09,080,10,0.7175832
080,09,027,09,-0.62329507
080,10,080,11,0.7987109
080,10,058,02,0.02832842
080,11,080,12,0.8623061
080,11,022,09,0.78470993
083,01,083,02,0.6534482
083,01,094,12,-0.22886217
083,02,083,03,0.6174517
083,02,004,06,0.8896157
083,03,083,04,0.43850982
083,03,021,10,0.852857
083,04,083,05,0.5408993
083,04,063,05,0.6115912
083,05,083,06,0.7458562
083,05,056,07,-0.38935864
083,06,083,07,0.49712062
083,06,084,08,0.12556934
083,07,083,08,0.47031468
083,07,096,09,0.6249844
083,08,083,09,0.25985295
083,08,042,02,-0.05767047
083,09,083,10,0.52607536
083,09,002,12,-0.3755716
083,10,083,11,0.9476435
083,10,047,07,0.21142542
083,11,083,12,0.95566225
083,11,043,04,0.35600388
084,01,084,02,0.80490136
084,01,002,02,0.19457912
084,02,084,03,0.83490175
084,02,022,02,0.20206803
084,03,084,04,0.8148841
084,03,077,11,0.14863056
084,04,084,05,0.8052318
084,04,064,02,0.7278297
084,05,084,06,0.74515474
084,05,083,02,0.30455166
084,06,084,07,0.63952243
084,06,026,11,0.7078402
084,07,084,08,0.5104677
084,07,037,02,0.70227474
084,08,084,09,0.8329028
084,08,086,04,0.20584214
084,09,084,10,0.3221056
084,09,045,11,0.02949095
084,10,084,11,0.54128337
084,10,066,07,0.52280056
084,11,084,12,0.6274626
084,11,085,07,0.3464011
085,01,085,02,0.58189726
085,01,051,06,-0.03863311
085,02,085,03,0.7365645
085,02,046,11,0.24116927
085,03,085,04,0.7580546
085,03,004,02,0.26031864
085,04,085,05,0.7354666
085,04,088,02,0.19521523
085,05,085,06,0.35284305
085,05,084,12,0.07283527
085,06,085,07,0.7200239
085,06,075,03,0.6600029
085,07,085,08,0.7355231
085,07,035,07,-0.17083621
085,08,085,09,0.7387943
085,08,012,09,0.23640662
085,09,085,10,0.9275846
085,09,091,05,0.7399184
085,10,085,11,0.6621902
085,10,059,09,0.8274094
085,11,085,12,0.34611297
085,11,092,10,0.4555027
086,01,086,02,0.8661059
086,01,028,05,-0.45428205
086,02,086,03,0.63556147
086,02,051,06,0.59512734
086,03,086,04,0.35128015
086,03,018,02,0.7395531
086,04,086,05,0.5457607
086,04,054,10,-0.10697532
086,05,086,06,0.32408643
086,05,019,10,0.17868865
086,06,086,07,0.31968123
086,06,024,04,0.7665944
086,07,086,08,0.75338155
086,07,019,11,0.55817527
086,08,086,09,0.38678205
086,08,009,03,0.32599026
086,09,086,10,0.7277928
086,09,071,07,-0.18733966
086,10,086,11,0.9132479
086,10,091,03,0.8823577
086,11,086,12,0.78472835
086,11,007,03,-0.41723526
088,01,088,02,0.8362812
088,01,027,08,0.6548352
088,02,088,03,0.9514294
088,02,059,03,0.3548144
088,03,088,04,0.7486985
088,03,079,12,0.69793904
